temparature,maxtemp,mintemp,dewpoint,cloud ,sunshine,winddirection,windspeed,rainfall
18.3,19.9,16.8,13.1,49,9.3,80,26.3,1
18.9,21.7,17.2,15.6,83,0.6,50,15.3,1
19.3,20.3,18,18.4,91,0,40,14.2,0
20.6,22.3,19.1,18.8,88,1,50,16.9,1
20.7,21.3,20.2,19.9,81,0,40,13.7,0
20.9,24.3,19.2,18,51,7.7,20,14.5,1
18.8,21.4,17,15,56,3.4,30,21.5,0
18.4,21,16.5,14.4,28,7.7,60,14.3,0
18.1,18.9,17.1,14.3,79,3.3,70,39.3,0
18,18.5,17.2,15.5,91,0,70,37.7,1
18.1,20.4,16.5,16.4,90,2.1,40,23.3,1
17.3,18.5,16.1,13.7,86,0.6,20,23.9,0
16.1,18.7,14.2,12.1,34,9.1,30,24.4,0
16.5,17.5,15.6,12.9,81,1.5,60,33.2,1
15.1,16.1,14.5,14.6,97,0,50,37.5,1
16.4,17.1,15.5,15.6,93,0,60,40,0
17.8,20.6,14.8,16.1,79,1.6,20,23.4,1
15.2,17.8,11.9,11.1,49,3.9,50,28.4,0
16.4,17.6,15.3,12.5,84,1,60,38,0
15.5,16.8,14.8,13.9,92,0,70,50.6,1
16.1,17.1,15.1,15.3,100,0,50,26.2,0
14.1,16.2,10.3,12.9,100,0,50,35.3,1
8.5,10.4,7,3.4,95,0,20,55.5,0
4.9,7.1,3.1,2.2,96,0,20,59.5,1
7.4,10.8,4.3,3.7,25,10.1,20,28.7,0
10.4,13.5,8.1,2.5,85,0.4,20,21.3,0
13,15.3,9.8,11.6,95,0.2,20,29.6,1
16.1,17.4,14.8,15.7,100,0,60,28.8,0
16.6,17.4,15.9,15.9,91,0.2,50,25,1
17.6,19.9,16.2,15.5,80,3.3,50,21.2,0
15.7,16.2,15.3,13.4,93,0.1,70,43.1,1
12.4,15.6,10.7,11.2,96,0,20,31.9,0
10.4,11.2,9.4,6.8,94,0,10,27.3,1
12.5,14.3,10.3,8.6,88,0.3,40,21.3,0
15.2,18.8,13.3,10.9,45,9.2,40,9.1,0
14.8,18.6,12.3,8.4,18,10.1,20,24.4,0
13.6,17.4,11.2,0.3,13,10.2,20,44.7,0
13.7,18.1,9.9,1.7,2,10.2,20,20.5,0
14.8,19.6,11.6,4.3,0,10.2,40,16.7,0
16.7,21.2,12.7,7.2,29,10.2,40,17.2,0
16.6,17.3,15.3,9.8,77,0.1,40,22,1
18.8,22.4,17.2,16.4,80,2.4,40,15.8,0
19.2,21.6,17.6,18.5,86,0.6,30,13.9,1
23.1,25.9,21.3,21.1,76,3.5,200,10.2,0
21.7,24.6,17.4,18.1,82,3.9,20,15.3,1
13.2,17.5,11.4,6.6,88,0,20,33.5,1
12.8,15.1,10.9,6,89,0.7,20,23.5,0
12.9,14.4,11.6,8.9,91,0,20,19.2,1
13.7,15,11.7,11.8,95,0,40,18.6,0
15.3,16.3,14.6,13.3,94,0,40,22.2,1
16,20.1,12.5,9.6,55,5.9,20,23.9,1
15,15.9,14.7,11,82,0,70,44.7,0
16.1,17.6,14.6,14.7,88,0.3,50,24.4,1
15.5,16.7,13.7,14.3,88,0,20,19.3,0
13.7,15.5,12.3,10,88,0,20,28,1
14.8,16.8,13.5,10.5,87,0.1,20,20.4,0
15.2,17.6,14,11.6,88,0.2,30,15.2,1
15.5,17.5,13.8,11.7,79,5,20,9.1,0
16.6,20.9,13.3,11.5,49,9.5,20,9.2,0
18.5,24.8,14.4,10.1,19,10.7,40,16.9,0
16.5,19.7,14.6,11.5,43,9.9,70,34.2,0
16.6,20.6,14.4,11.4,32,10.6,60,27.1,0
18.7,23.8,15.4,14,46,10,40,14.7,0
20.2,23.2,18.1,16.9,71,3,40,15.4,0
20.8,23.1,19.2,16.9,83,0.5,30,13.3,1
21.8,25.9,19.2,18,72,7.6,220,6.6,0
19.7,21.3,18.9,18.2,76,0,40,13.8,1
20.1,21.5,18.9,18.9,88,0.3,40,15.3,0
20.8,22.9,17.1,19.9,88,0.6,50,15.1,0
13.4,17.2,10,12.2,93,0,20,39.7,1
11.9,14.3,10,8,93,0,20,25,0
13.6,14.5,12.7,11.4,100,0,50,36,1
15.8,17,14.4,15.1,99,0,50,22.8,0
15.3,16.5,14.2,12.4,89,1.1,20,26.7,1
14.8,15.5,14,11.1,94,0,70,38,1
15.3,16.3,14.1,13.6,100,0,60,33.2,0
16.5,17.4,15.6,16,97,0,50,26.5,1
19.5,21.9,17.2,19,92,0.1,30,13.1,1
22.4,24.9,20.3,21.4,85,1.5,40,12.5,0
19,23.1,17.6,17.4,96,0,50,28,1
17.1,18.2,16.4,16.3,95,0.1,60,38.3,0
16.6,17.3,15.9,16,100,0,50,33.5,1
18.4,20.6,17.1,18,95,0.6,40,22,0
15.3,17.7,12.7,14.9,99,0,70,42,1
13.7,15.7,11.6,9.2,88,0.2,20,19.4,1
15.8,20.2,12.6,9.8,22,11.1,70,13.4,0
17.3,22.4,14.6,8.4,19,11.1,30,14.6,0
16.9,19.9,15.2,10,58,5.6,60,26.9,0
17.7,19.4,15.7,9.6,74,2.4,50,20.5,0
20,22.2,18.4,16.3,89,2.4,40,14.8,1
21.5,25.5,19.1,18.9,83,6.1,50,4.5,0
21.9,25.3,19.9,19.5,83,3.6,50,8.3,0
21.3,23.8,19.8,19.6,81,1.5,40,14.5,1
23,26.5,21,20.7,88,2.3,50,9.2,0
23.6,28.1,20.7,21.4,84,2.2,120,8,0
22.3,24.4,20.7,20.8,78,1,40,14.8,1
23.1,26.5,21.5,21.6,83,6.9,70,20,0
23.9,26.9,22.4,22.3,84,1.8,40,10,0
25.3,27.9,23.2,22.9,84,2.5,40,9.1,0
25.7,27.5,24.4,23.2,88,1.2,200,17.3,1
23.3,26.3,21.3,21.9,93,0,190,20.5,0
21.5,22.8,20.1,19.9,89,0,70,31.8,1
20.3,21.3,19.9,19.3,88,0,70,29.8,1
21.8,25.1,20.9,21.6,93,0,40,14.5,0
23.1,25.2,21.6,22.8,88,0,30,11.2,1
21.1,23.5,20.6,20.6,88,0,30,20,0
24.7,28.1,20.6,22.7,81,3.5,210,15.3,1
25.9,27.5,24.1,24.2,86,1.1,190,16,0
23.1,26.7,20.1,20.8,81,1.2,80,19.6,1
20.5,21.8,20.1,18.1,88,0,70,35.3,1
21.6,22.9,20.2,19.5,89,0.2,40,20.9,0
24.6,28.4,22,22.3,80,4.8,30,7.3,1
23.7,26.1,21,22,81,1,300,11.1,1
24.9,27.7,22.6,22.8,81,0.3,240,13,0
24.4,26.1,23.2,23.2,84,1.4,190,8.5,1
26,28.4,23.9,24.3,83,3.1,180,13,1
27.2,28.5,26,24.5,87,1.3,200,24.2,1
26.8,29.1,25.4,24,83,3.6,230,20.2,0
26,28.2,24.7,23,78,4.6,50,12.5,1
24.1,26.3,22.9,19.6,68,6,90,30.5,1
22.5,23.4,20.8,18.7,89,0.3,60,27,0
22.2,23.4,20.4,20.9,90,0.5,50,23.7,1
25.6,29.8,22.8,23.6,82,2,50,11.1,0
26.5,30.8,22.8,23.9,84,3.1,220,11.8,1
25.8,28.2,23.2,23.4,82,2.7,40,9.2,1
28.1,30.9,26.2,25.1,85,2,180,15.4,0
28.4,30.5,27.2,25.3,84,2.9,190,15.5,0
28.7,31,27.1,25.1,69,4.7,170,12.1,0
28.7,31.2,27.3,25.2,80,3.8,150,9.5,0
28.7,30.6,26.9,25,69,3.9,170,16.3,0
26.6,28.4,23.7,24.3,84,0.3,220,12,1
25.5,28.8,23.4,20.6,62,8.8,80,26,0
25.1,27.6,23.7,21.4,78,5,70,28.6,1
25.5,27.8,24.4,22.2,88,1.2,50,24.9,0
25.4,27.7,24,23.4,86,2.8,70,28.3,1
26.6,29.8,24.4,23.7,75,7.7,50,15.7,0
24.8,27.1,22.5,19.4,69,7.2,10,21.9,1
23.7,24.6,23.2,20.1,86,0.3,80,39.5,1
24.5,26.3,23.4,19.9,79,4.8,70,30.3,0
25.5,28.1,24,22.5,85,3.5,70,26.4,1
25.2,26.2,24.3,24.2,88,0.1,40,22.3,0
26.5,28.3,24.7,24.3,77,1.9,230,25.9,1
27.2,30.8,25.3,22.7,63,5.6,20,11.3,0
26.8,28.9,24.8,23.2,65,6.4,20,7.9,1
27.5,30.7,25.4,24.1,61,7.6,180,7.4,0
28,30.9,26.2,24.7,62,8.8,100,16.2,1
27.6,29.5,26.7,24.8,84,1.8,70,34.8,0
27.5,29.1,26,25.5,88,1.2,130,32.5,1
27.7,30.3,24.5,25.6,89,1.2,200,24,0
29.1,31,27.2,26.1,77,3.6,210,19,1
29.8,32.1,28,26,73,9.8,220,22.8,1
29.9,31.8,28.7,25.7,72,7,220,25.2,0
30.1,32.8,28.6,26.2,73,7.2,230,31.7,0
30.3,33,28.7,26.3,58,10,230,27.4,0
30.3,32.4,29,26.5,77,5.2,220,28.8,1
28.7,33.8,24.7,25.4,75,5.5,220,20.8,0
26.9,30.4,25,24.3,87,0.7,20,9.8,1
26.2,29.1,24.8,24.7,80,2.2,20,11.2,0
28.1,30.7,26.3,25.4,75,5.7,20,9.5,1
27.1,30,24.1,25.1,85,3.1,190,12.6,1
28.2,31.7,26.6,25.7,79,6.5,130,19,0
27.9,31.1,26.6,25.8,80,4.5,220,14.6,1
26.6,27.8,25.4,25.4,85,0,230,20,0
27.1,29.2,25.4,25.8,96,0,220,29.8,1
29.7,31.5,28.5,26.7,90,1.3,220,24.3,0
30.2,31.7,29.2,26.6,88,2.4,220,30,1
30.3,32,29.3,26.3,86,1.6,210,29.3,0
29.4,31.4,28.2,25.9,88,1.6,230,23.2,1
29.4,32.1,26.7,25.9,85,7.2,220,12.8,0
29.3,30.8,27.7,26,81,2.3,200,19.8,1
30.1,34.2,27.8,26.1,41,12,130,12.4,0
30.8,34.4,28.6,26.3,59,9.1,170,12.1,1
30.6,33.7,28.7,25.6,51,10,200,12.6,0
30.5,33.7,28.5,25.3,32,9.3,220,10.9,0
30.4,34.1,28.4,24.7,20,11.4,210,9.6,0
31,35.2,28.8,25,38,11.2,180,9,0
31.4,35.5,28.9,26.1,39,10.6,150,9.1,0
31.3,35.1,29.4,26.3,57,9.9,160,11.9,1
31.1,35.1,28.6,26.7,61,8.6,60,15.7,0
29.1,32.3,26.3,26.3,83,4.2,220,26.1,1
29,33.3,27.5,26.7,79,3.9,160,23.4,1
30,33.1,27.8,26,83,6.3,190,24.4,0
30.1,33,27.7,26,78,5.3,190,21.9,1
29.4,32,26.9,26,86,2.7,200,21.9,0
29.4,31.5,27.3,25.8,84,1.8,190,25.1,1
30.1,33,28,25.9,83,6.8,180,33,1
29,32.6,25.8,26.5,88,5.4,130,22.5,0
27.3,28.8,24.7,26,88,0.5,130,24.8,1
30.2,34,27.9,25.6,53,10.5,270,11.3,1
31,34.2,28.1,25.9,46,10.4,280,23.5,0
31.5,35.6,26.4,26.4,57,10,280,25,1
28.6,31.3,26.2,25,88,2.5,240,18.8,1
28.9,31.1,26.1,26.1,89,2.4,240,19.8,0
28.1,29,27,25.1,88,0,230,16.3,1
28.6,31.7,25.6,26.1,82,2.2,160,12.6,1
28.9,30.3,26.4,26.2,83,0.2,230,14.3,0
30.2,33,28.6,26.4,78,6.2,230,22.4,1
30.6,33.2,29,26.4,69,8.5,240,25.1,1
30.6,33.2,29,26.2,69,9.2,230,23.7,0
30.4,32.4,28.7,25.3,72,10.1,230,23.7,0
29.9,32.3,26.7,25.8,78,4.1,220,25.1,1
29.2,31.9,25.6,25.6,70,6.4,220,22.6,0
30,33.3,27.5,25.3,49,8.8,220,12.3,1
30,32.9,28.1,25.2,29,11.4,240,14.5,0
30,32.8,28,25.4,32,11.9,250,21.6,0
30.4,34,28,24.6,21,12.1,240,16,0
30.8,35,28.3,25.5,28,11,130,8.3,0
29.4,32,27,26.4,57,7.4,60,17.5,1
30.2,33.4,28,25.3,44,10.1,200,9.5,0
30.1,32.9,28.1,24.8,29,11.8,240,12.8,0
30.3,33.7,27.6,24.9,32,11.8,260,21.9,0
29.9,33.5,28.7,24.7,49,6.3,270,16.1,0
30.1,33.9,27,24.9,47,10.4,50,14.1,1
28.9,32.2,26.9,24.6,69,10.7,20,11.8,0
28.9,32.3,26.8,24.5,54,11.4,100,9.8,0
29.5,33.3,27.3,24.5,38,10.3,20,5.5,0
29.4,33.3,26.8,24.1,29,5.7,10,4.4,0
29.6,33.3,27.6,24.4,27,10.8,220,8.7,0
30.1,33.1,27.8,24.2,29,10.6,220,6.1,0
30.7,33.3,28.2,24.9,40,10,290,10.9,0
32.4,36.3,30,24,55,10.8,290,17.2,0
31,34.7,26.9,24.8,80,10,220,26.4,1
28.1,30.6,25.1,25.2,88,0.6,230,20.2,0
29.2,32.8,26.3,25.4,77,6.5,220,13.9,1
30,33.7,27.8,25.8,78,9.1,220,11.9,1
28,29.6,26.4,25.6,84,0.1,230,22.9,0
26.9,28.8,25.6,25.1,88,0.2,210,12.9,1
27,28.6,24.9,25,88,0.3,220,14.2,1
29.2,31.2,26.9,26.5,88,0.2,230,18,0
29.9,32.4,28.3,26.6,81,8.4,230,20.5,1
30.2,33.8,28.4,25.8,67,10.2,220,18.1,1
30.1,32.8,28.1,25.7,59,10.4,230,16.6,0
29.1,31.2,26.8,26.1,67,5,270,6.9,1
30,33.4,26.9,25.5,70,7.7,350,13.6,0
30.2,32,28.4,24.4,48,6.1,10,12,1
30.6,32.9,28,24.2,30,7.6,220,11.7,0
30.7,33.2,28.3,24.3,48,7.8,10,11,0
30.6,34.4,27.9,23.2,22,9.1,10,10.7,0
28.9,31.7,27.8,25.3,78,1.1,40,16.4,1
29,32.4,27,25,75,6.7,200,12,0
28.3,31.2,26.9,24.4,84,4.5,210,8.9,0
27.8,29.6,26.5,24.8,87,3.1,230,11,1
26.6,27.9,25.8,25.2,88,0,220,5.9,0
27.4,29,25.8,25,88,0.9,40,5.7,1
27.4,28.9,25.7,25.4,87,0.4,50,8.6,1
25.8,27.7,24.5,24.8,88,0,110,16.5,0
27.6,29,25.8,25.8,87,0.7,60,18.2,1
29.1,32.9,27,25.7,60,8.7,80,9.8,0
29.3,31.9,27.2,24.8,38,11,220,11.7,0
29.6,32.3,27.8,25.6,43,9.7,240,24.9,0
28.3,29.6,26.7,25.9,82,0.5,250,21.3,1
27.9,30.7,26.4,23.1,60,8.3,60,29,0
28.2,31.2,26.5,23,44,10.1,70,26.2,1
28.1,31.3,26.5,23.2,47,7.9,60,24.5,0
28.1,31,26.8,23.7,46,8.4,100,21.4,1
27.9,30.5,26.2,23.2,66,6.7,90,22.6,0
28,31.2,25.8,21.4,49,9.2,50,39.9,0
28,31.4,25.9,22.1,46,9.3,60,41.3,0
28.6,31.9,26.5,23.1,60,9,70,39.5,0
28.1,31,26.9,24.5,86,2.1,70,32.2,1
28.2,30.6,27.1,24.2,72,7.1,70,27.4,0
28.5,31.8,26.8,24,47,8.6,70,14.5,1
28.3,30.6,26.8,24.3,67,3.8,180,8.1,0
28.7,31.1,27.1,24.5,74,7.7,200,14.5,1
27.4,28.7,25.5,23.8,88,0.4,190,11.9,0
28.1,31,26.3,25.5,67,8.8,110,14.8,1
28.9,32,27.3,25.3,40,6.8,110,10.2,1
29.3,32,27.4,24.7,23,11.1,230,17.3,0
29.7,32.2,28.1,25.3,38,11,230,20.5,0
28.7,32.2,26.9,26.3,71,4.7,90,14,1
27.8,30.2,26.5,25,81,2.5,90,15.1,1
29,32.8,25.8,20.6,30,11.1,10,16.4,0
29.7,31.3,27.4,20,53,10.4,230,15.5,0
29.8,32.7,28.2,24.8,78,8.5,140,12.7,1
28.8,31.7,26.4,25.3,84,2.9,30,7.9,1
27.9,31.6,26.5,23.1,82,4.2,10,30.6,1
26.8,29.7,24.2,23.7,88,1.6,60,52.8,1
26.7,27.8,24.9,25.2,95,0,120,50.7,1
26.7,27.8,25.4,25.4,88,0.9,100,37,1
26,26.8,25.3,25.4,86,0.4,100,30.4,1
26.4,27.6,25,25,85,0.7,140,12.5,1
27.8,30,26.1,23.1,54,10.6,300,13,0
26.8,29.4,24.8,20.9,45,7.1,20,20.4,1
24.3,26.6,21.1,19.9,85,0.6,20,30.2,1
20.5,22.1,18.5,16.6,88,0,20,38.3,1
23.1,24.9,21,16.8,88,0,50,28.2,1
25.1,27.8,23.3,19.1,68,10.5,70,32.4,1
25,28.2,23.1,20.1,51,7.4,70,23.9,0
25.2,28.7,23.1,20.7,19,9.1,90,14.1,0
25.8,29.4,23.3,20.4,20,10.5,30,9.9,0
26.2,30.8,23.6,19.5,17,10.5,70,12.4,0
25.5,29.1,23.5,19.3,43,9.7,60,8.9,0
25.3,28.2,23.1,16.7,79,4.4,20,17.3,0
26.2,29.1,23.8,17.3,78,7.5,10,17.2,0
26.4,29.2,24.3,19.3,64,6.4,10,13.2,1
27,30.6,25.3,20.9,48,7.8,120,9.2,0
27,30.7,24.8,21.6,50,8.3,80,9.9,0
26.8,29.6,24.9,22.1,61,8.2,80,19.7,1
25.9,26.6,25.4,21.7,77,3,80,37.5,1
25.4,26.2,24.5,22.3,81,0.8,80,28.9,1
26.5,30.1,24.3,22.1,48,9.5,60,10.3,0
26.7,29.2,25.5,23.3,46,9.5,110,15.8,1
26.4,28.4,25.5,22.9,61,7,90,24.2,1
26.7,29.6,25.3,23.1,53,8.4,100,16.5,0
25.6,27.2,24.4,21.6,66,5.3,80,40.8,1
22.9,24.5,20.5,17.8,61,4.3,20,29.6,0
22.6,26,19.7,16,72,7.5,20,22.5,1
23.7,25.8,22.3,18.8,82,2.4,70,32.9,1
24.7,26.6,23.1,20.4,83,3,80,29.8,1
25.8,28.2,24.5,22,82,6.5,70,28.3,1
25.5,26.3,24.7,22.4,81,0.5,80,30.2,1
26.2,28.4,25.2,23.4,87,3.4,80,24.8,1
26.5,28.7,25.5,23.6,70,5.9,70,18,1
26.7,30.3,24.8,23.3,58,7.7,50,12.8,1
24.9,25.9,24,21.4,88,1.1,80,46.3,1
23.8,25.4,22.6,20.6,85,2.6,80,43.8,1
23.9,24.2,23.6,21.1,88,0,80,41.4,1
23.3,25.3,21,22.1,86,0.3,80,29.7,1
24.3,26.9,22.3,21.2,74,5.5,30,13.8,1
24.2,24.8,23.5,22.3,84,0.1,80,35.8,1
24.8,25.9,23.6,23.5,74,2.3,80,25.5,1
25.5,27.2,24.4,23.8,51,7,80,17.2,0
26.1,29.1,24.1,23.2,20,8.2,80,7.9,0
25.9,28.5,24.5,22.9,58,5.9,70,22.1,1
24.8,25.9,24.4,21.6,73,1.1,80,30.6,1
24.8,26,23.9,21.1,83,0.4,70,40.4,0
25.4,27.6,24,21.3,65,8.3,80,29.2,1
25.4,28.4,23.7,21.2,47,7.7,90,19.6,0
24.5,26.6,23.3,19.8,35,9.8,70,31.2,1
22.6,25.3,18.2,16.8,44,6.9,20,28.6,0
18.2,21.2,15.8,7.8,46,3.5,20,34.3,0
18.4,20.4,15.3,9.7,44,8.6,60,39.3,0
20.8,22.9,19.2,15,49,8.6,70,34,0
22.1,24.1,20.3,17.4,40,8.8,60,16,0
22.4,25.2,20.4,17.7,56,6,100,15.7,1
22.9,25.1,22,19,85,2,70,25,0
23.3,25,22.2,19.6,69,6.3,70,15.9,1
20.8,22.3,19.6,16.5,93,0,20,27.9,1
19.5,21,18.4,14.9,88,0.6,50,37.9,1
18.4,20.3,15.7,15.8,91,0.1,70,41.3,1
16.6,18.1,15.4,12.2,91,0.1,10,28.4,1
17.3,19.3,15.4,12.1,86,0.9,10,21.8,0
18,19,17,14.1,90,0,30,28.5,1
17.7,18.9,16.9,16.8,95,0,60,35.1,1
19.3,20.9,17.6,16.8,80,5.1,20,10.2,1
19.9,23,17.9,15.5,72,6.3,60,20.7,0
20,20.7,19.4,17.1,88,0.2,70,39.5,0
20.4,21,19.7,17.8,83,0,70,30.3,1
20.4,21.3,19.1,17.3,84,0.4,50,20.3,1
18.4,20.4,16,12.6,70,2.2,10,26.8,1
15.2,17.2,13.4,4.3,11,9.3,10,48,0
13.2,15.2,11.5,-0.4,25,9.1,20,35.6,0
13.9,16.5,11.3,3.1,11,9.5,40,25.2,0
16.2,18.2,13.8,8.7,71,2.1,30,29,0
17.6,18.6,17,12.9,88,0,40,19,1
19.4,21.1,17.1,16.2,87,1.6,50,22.5,1
19.9,20.6,18.7,17.6,88,0.3,60,27.3,1
21.1,22.3,19.8,19.6,79,0,40,15,1
22.3,24.7,21.1,20.7,70,6,40,9.4,1
18.2,21.4,16.1,13.5,89,0.7,10,27.6,1
17.9,19.7,16.9,13.3,87,0.6,30,21.6,0
17.7,18.8,16.9,15,90,0,30,18.4,1
17.3,18.6,16.3,12.8,85,1,20,25.9,1
17.7,18.9,16.4,13.3,78,4.6,70,33.4,1
17.3,19.2,15.2,13.3,86,1.2,20,20.9,1
17.8,20.5,15.5,13,66,5.7,20,23.3,0
